,date,time,N,P,Z,D,PTempDepGrow,PNutUptake,PLightHarv,PGains,Mix,,PMortality,PZooGrazed,PSinking,PLosses,ZGains,ZLinMort,ZQuadMort,SiMixing,ZLosses,ZUnassimFeedDetritus,DGains,DRemin,DZooGrazed,DSinking,DLosses,NMixing,ZUnassimFeedNitrate
2046,2001-06-15,2046.0,1.69532779111762,0.2141224360692903,0.33434421977444734,0.6736470836080388,934.2886169604202,1197.0451668514931,845.0403235759842,64.1496676913405,5.649089886300248,0.0,48.01802150858293,11.207627197718569,64.0274508571599,27.77455223338239,6.274396622211012,21.26758240909605,0.0,27.54197903130711,16.63789602386186,70.93031415465582,13.942335391642814,42.4630051373199,13.942335391642814,70.34767592060544,37.63045733519568,9.25818407779412,4.8018021508582995
2047,2001-06-16,2047.0,1.6875441517488308,0.21282595628856177,0.33266610785338846,0.6720240119046746,934.7378566305835,1197.57515682821,845.4727788394491,64.17604397873086,5.650089886300249,0.0,48.039368913223335,11.211817819785232,64.055123624331,27.787331814252124,6.2777316801326695,21.27870504396519,0.0,27.556436724097907,16.64555142496257,70.9626520183186,13.949063749229033,42.48350935751359,13.949063749229033,70.38163685597158,37.63806176534113,9.262443938084031,4.80393689132234
2048,2001-06-17,2048.0,1.6799171093140537,0.21153132618779055,0.3309809080794848,0.6703983744913165,935.1869053932144,1198.104009290861,845.9055162577802,64.20220986638807,5.651089886300249,0.0,48.0605867616833,11.215938704237258,64.08258414208899,27.79997560158639,6.2810499210005695,21.28971579020546,0.0,27.570765711206075,16.653125481143483,70.99476216382736,13.95577586326948,42.50382091235483,13.95577586326948,70.41537263889371,37.645673900745024,9.26665853386212,4.806058676168336
2049,2001-06-18,2049.0,1.6724456654158173,0.2102386245343095,0.3292891959980631,0.668770249171164,935.6357535772953,1198.6317419314587,846.3385342780114,64.22816637938976,5.6520898863002484,0.0,48.08167524286062,11.21999058959737,64.10983335674416,27.812484219465397,6.284351276805506,21.30061476436095,0.0,27.584966041166506,16.66061856624975,71.02664508591589,13.962471708514734,42.523940269273,13.962471708514734,70.44888368630238,37.653293585310216,9.270828073155123,4.808167524286068
2050,2001-06-19,2050.0,1.6651288169896448,0.20894792958490863,0.32759152406334746,0.6671396978880678,936.0843914908243,1199.1583725850162,846.7718313549323,64.25391455781252,5.653089886300249,0.0,48.10263455351121,11.223974221253881,64.13687223011632,27.824858318302336,6.28763568517539,21.311402126762722,0.0,27.599037811938164,16.66803106990086,71.05830130858747,13.969151260270149,42.543867939716854,13.969151260270149,70.48217046025707,37.66092066393907,9.274952772767437,4.8102634553511265
2051,2001-06-20,2051.0,1.657965557589967,0.2076593186615258,0.3258884235461248,0.6655067649284531,936.5328094197176,1199.6839192217815,847.2054059488501,64.27945545590046,5.654089886300249,0.0,48.12346489815715,11.227890351154667,64.16370173912765,27.837098575372,6.290903089225894,21.322078080299107,0.0,27.61298116952505,16.675363397807327,71.08973138519039,13.975814494668796,42.563604480482084,13.975814494668796,70.51523346981959,37.6685549825388,9.279032858457324,4.812346489815721
2052,2001-06-21,2052.0,1.6509548760918789,0.20637286841129304,0.3241804033331026,0.6638714831571908,936.9809976268713,1200.2083999435938,847.6392565250893,64.30479014107739,5.655089886300249,0.0,48.14416648910433,11.23173973653994,64.19032287455481,27.849205689998225,6.294153437259249,21.332642867105,0.0,27.626796304364298,16.68261596888777,71.12093589525136,13.982461387986515,42.58315048567889,13.982461387986515,70.54807326165184,37.67619638802453,9.283068563332733,4.814416648910439
2053,2001-06-22,2053.0,1.6440957576790767,0.2050886544032559,0.3224679511800411,0.6622338739322068,937.4289463474477,1200.731832976981,848.073381552317,64.32991969278375,5.656089886300249,0.0,48.164739546270624,11.235523139371407,64.21673664026922,27.861180382798732,6.297386682558553,21.34309676675926,0.0,27.640483449317863,16.689789214816575,71.15191544364578,13.98909191671387,42.60250658584358,13.98909191671387,70.58069041927122,37.68384472832388,9.287060127599567,4.816473954627068
2054,2001-06-23,2054.0,1.6373871855593787,0.20380675045340524,0.32075153546970203,0.6605939457780361,937.8766457792293,1201.2542366656712,848.507779500881,64.35484520095093,5.657089886300249,0.0,48.185184296865394,11.239241325834193,64.24294405238625,27.873023395568673,6.300602783172619,21.353440094625476,0.0,27.654042877798144,16.696883579954125,71.18267065999216,13.995706057780138,42.621673448211595,13.995706057780138,70.61308556377178,37.69149985238179,9.29100779852288,4.818518429686546
2055,2001-06-24,2055.0,1.6308281395067774,0.20252722904649637,0.3190316043659244,0.658951699594658,938.3240860890548,1201.7756294663143,848.9424488416556,64.37956776561025,5.658089886300249,0.0,48.205500975588855,11.242895065304603,64.26894613845246,27.884735487428152,6.30380170168405,21.3636731990773,0.0,27.667474900761402,16.70389951903903,71.21320219631195,14.002303787984825,42.640651770305396,14.002303787984825,70.64525934627494,37.69916161016398,9.294911829142707,4.8205500975588915
