,N,Si,PFT_all,PFT_1,PFT_2,Zall,Det,time,date
371,3.7508205743943215,2.4032152940619125,0.21237567909101718,0.10045939628833869,0.11191628280267847,0.20473395689872118,0.6442660141078372,5106.0,2007-01-07
372,3.7893580141630197,2.433913296504393,0.21660072668938884,0.10474358088875094,0.11185714580063791,0.20536497078766966,0.6483839004869153,5107.0,2007-01-08
373,3.82712233714766,2.4637442097507543,0.2210096128193662,0.1092332094902481,0.11177640332911809,0.20608039029619024,0.6527596520706973,5108.0,2007-01-09
374,3.864074192938697,2.4926646346303007,0.22560284162844402,0.11393078361597032,0.11167205801247368,0.20688610611651695,0.6573992728426648,5109.0,2007-01-10
375,3.900175821555649,2.5206322217939348,0.2303800934304901,0.1188379459755283,0.11154214745496181,0.2077883858166028,0.6623082541124281,5110.0,2007-01-11
376,3.9353912159833655,2.5476058454990076,0.2353401140826238,0.12395535938235913,0.11138475470026468,0.20879389397652018,0.6674914707501096,5111.0,2007-01-12
377,3.9696862894181737,2.573545783168542,0.24048060345407318,0.1292825843965094,0.1111980190575638,0.20990971189310278,0.6729530729247528,5112.0,2007-01-13
378,4.003029059180808,2.5984139165831257,0.24579810406058156,0.13481795576573177,0.11098014829484977,0.21114335408822274,0.6786963592537005,5113.0,2007-01-14
379,4.035389843152065,2.6221739485565503,0.25128788736431473,0.14055845554714896,0.11072943181716574,0.21250278356615712,0.6847236379832287,5114.0,2007-01-15
380,4.0667414438502005,2.64479160869561,0.25694385408678977,0.1464996009583037,0.11044425312848605,0.21399642210797407,0.6910360908989976,5115.0,2007-01-16
381,4.097059356964231,2.666234888994965,0.2627584292149209,0.15263532502122532,0.11012310419369559,0.21563315858076512,0.6976336143402423,5116.0,2007-01-17
382,4.126321959128493,2.6864742608682795,0.2687224801119005,0.1589578815015562,0.10976459861034427,0.21742234846931552,0.7045146648213172,5117.0,2007-01-18
383,4.15451071341212,2.7054829140793455,0.2748252311782342,0.16545774500382468,0.10936748617440954,0.21937381181463558,0.7116760880275197,5118.0,2007-01-19
384,4.181610347498379,2.7232369729459274,0.28105421147455867,0.17212354540784394,0.10893066606671474,0.2214978165926105,0.7191129527553415,5119.0,2007-01-20
385,4.207609092273122,2.7397157614632395,0.2873951550654896,0.1789419674011308,0.10845318766435882,0.22380506077235007,0.7268183705206369,5120.0,2007-01-21
386,4.2324990916737,2.754902183117841,0.293831746253792,0.18589755490268167,0.10793419135111032,0.22630663249581914,0.7347833170497479,5121.0,2007-01-22
387,4.256277240434558,2.7687834257766997,0.30034498689605793,0.19297223428570465,0.1073727526103533,0.2290139612970772,0.74299641212308,5122.0,2007-01-23
388,4.278945288083707,2.7813511744573858,0.30691339788160504,0.20014541488277798,0.10676798299882706,0.23193873158738748,0.751443636965214,5123.0,2007-01-24
389,4.300509135182916,2.792601220532444,0.31351387683420906,0.2073945952234973,0.10611928161071177,0.2350928017688566,0.760108190018409,5124.0,2007-01-25
390,4.320979026345499,2.80253368990925,0.32012166240050033,0.21469536047751095,0.1054263019229894,0.23848809719062314,0.7689703616974323,5125.0,2007-01-26
391,4.340369560132444,2.8111531324264742,0.3267104704066783,0.22202151080661944,0.10468895960005885,0.2421364892298223,0.7780074365104097,5126.0,2007-01-27
392,4.358699656339359,2.818468578020303,0.3332526728089286,0.22934523481214494,0.10390743799678369,0.24604964431644774,0.7871936204270283,5127.0,2007-01-28
393,4.375992475207517,2.824493555190538,0.339719519379723,0.23663732763741438,0.10308219174230865,0.25023884225240045,0.7965000013031733,5128.0,2007-01-29
394,4.392275281189408,2.8292460461683735,0.3460813719140933,0.24386742554128696,0.10221394637280637,0.254714789492883,0.8058945728739069,5129.0,2007-01-30
395,4.407579259474666,2.8327484147050104,0.3523079948208818,0.251004298102168,0.1013036967187138,0.25948738456219134,0.8153422888003656,5130.0,2007-01-31
396,4.421939276558236,2.835027279326544,0.3583688675103962,0.25801616524925375,0.10035270226114244,0.26456546538280445,0.8248051810767985,5131.0,2007-02-01
397,4.435393588303229,2.8361133415946926,0.36423352470899867,0.26487104471000394,0.09936247999899472,0.26995652954238775,0.8342425393085717,5132.0,2007-02-02
398,4.447983491513244,2.836041165047862,0.3698719219990736,0.271537127321798,0.09833479467727557,0.27566642880307374,0.8436111612214302,5133.0,2007-02-03
399,4.4597529487343905,2.8348489307548244,0.37525481060797805,0.27798316286273145,0.0972716477452466,0.2816990527238015,0.8528656408193306,5134.0,2007-02-04
400,4.47074811294694,2.8325781055088504,0.38035414314056615,0.2841788816055132,0.09617526153505296,0.28805597367228997,0.8619588024302853,5135.0,2007-02-05
401,4.4810168475107615,2.829273104145052,0.3851434731624635,0.29009540988545435,0.09504806327700917,0.2947360990209189,0.8708421486990003,5136.0,2007-02-06
